Company ID;Company Name;Industry (ICB);Region;Year;PE Firm;PE/VC;URL of the Transaction;Description
6479;Sabre;;;2006;Silver Lake;;https://www.sabre.com/insights/releases/sabre-holdings-to-be-acquired-by-tpg-and-silver-lake-partners-for-5-billion/;Sabre is a technology solutions provider to the global travel and tourism industry. It offers a broad range of technology solutions including, data-driven business intelligence, mobile, distribution and Software-as-a-Service solutions which are used by travel suppliers (airlines, hotels, car rental outlets, railways, cruise linesand tour operators) and travel buyers (travel agencies, travel management companies and corporate travel departments) to plan, market, sell, serve and operate their business.
6612;SABRELINER CORPATION;;UNited States;;;;https://www.aviationpros.com/aircraft/maintenance-providers/mro/press-release/11301117/sabreliner-corp-sabreliner-to-continue-under-new-owners;Sabreliner Corporation is a diversified aviation services company recognized worldwide for its extensive expertise and capabilities for government, military and business aviation customers. Specializing in airframe, engine, and component modification, inspection, repair, and overhaul, Sabreliner is widely recognized for its ability to keep veteran aircraft in service while being equally qualified to perform aircraft completions to the highest standards. Sabreliner offers complete exterior paint services and interior redesign, as well as major avionics upgrades and installations.
13804;Sabroe Refrigeration;Industrial Manufacturing;Denmark;1999;York International Corp.;;https://www.wsj.com/articles/SB922585201513969274;Sabroe Refrigeration, a manufacturing of industrial compressors for the global food, beverage, pharmaceutical and petrochemical industries.
5080;Saeco/Saeco International Group?;Industrial,Manufacturing,Packaging Service;Spain;2004;PAI Partners;;https://www.unquote.com/france/news/83535/pai-partners-backed-saeco-could-be-sold-to-philips;Saeco is a company founded in Molina de Segura in 1979, dedicated to the manufacturing of corrugated cardboard containers and packaging , aimed at the agri-food and industrial sector, for the entire national scope.
25085;Safe Traffic/ RoadSafe Traffic;Other Commercial Services;UNited States;2021;Trilantic North America , Investcorp International, Inc.;;https://www.trilanticnorthamerica.com/portfolio/roadsafe-traffic-systems;Provider of traffic safety services and products intended to protect the motoring public, pedestrians and workers. The company offers temporary traffic control devices on a rental basis, as well as pavement marking and sign installation services serving contractors, state and local departments of transportation and other agencies, railroad and utility companies engaged in highway and street construction and maintenance.
25607;SafeBoot Holdings, BV;Enterprise Software;United States;2005;Summit Partners;;https://www.summitpartners.com/companies/safeboot;SafeBoot is a leading developer of encryption software and management systems that allow corporations to protect the integrity of data on mobile devices.
6315;Safelite Glass Corp.;Automotive, Professional Services;United States;2007;Belron International;;https://www.bizjournals.com/columbus/stories/2007/03/05/daily2.html;Safelite Group, Inc. is an American provider of vehicle glass repair, replacement, and calibration services and insurance claims management company, based in Columbus, Ohio.
42880;SafeRoad;Manufacturing, Public Safety;Norway;2018;FSN Capital Partners;PE;https://mergr.com/fsn-capital-partners-acquires-saferoad-holding-as;Saferoad's core business areas are road restraint systems, light poles and masts, signs & work zone protection, road marking and noise protection. These areas represent a broad range of products and solutions that contribute to a safer life on the road, whether you go by foot, bike or car. We offer sustainable and high-quality solutions that can be customised to provide optimum solutions. With a strong local presence across Europe, we ensure close dialogue with our customers and efficient handling of projects.
1312;Safestore Holdings;Self-Storage;UK;2003;Bridgepoint;;https://www.bridgepoint.eu/investments/safestore;Safestore Holdings PLC is a real estate investment trust that owns and leases storage space located in Paris and the United Kingdom. The company focuses on the acquisition and operation of storage locations in wealthy, densely populated areas in Europe. Safestore's properties in the United Kingdom comprise the vast majority of its total holdings. The company derives the majority of its revenue from the rental of its self-storage lockers and the remaining from the sale of insurance and packaging materials. Southeast London and England account for the majority of Safestore's income. Total occupancy is split fairly evenly between individuals and businesses ranging from online retailers to large, multinational companies.
22085;Safety Kleen Europe;Chemical;UK;2017;Apax Partners;PE;https://www.penews.com/articles/apax-partners-buys-safetykleen-europe-from-warburg-20170519;Safetykleen Europe delivers customer efficient outsourcing solutions for a wide range of critical industrial processes, with an extensive range of parts cleaners, tailored chemical applications, regular scheduled services and spent chemicalcollections.
29612;SafeWorks Holdings, Inc.;Manufacturing;United States;2014;Evergreen Pacific Partners;PE;https://www.khl.com/news/evergreen-acquires-safeworks-/1099713.article;SafeWorks, LLC was formed in 1997 to bring together related companies that provide safe, total access equipment solutions to a wide variety of construction related markets. Through a focused end market diversification strategy, SafeWorks today serves customers in all energy segments, infrastructure, utilities, military installations and commercialconstruction and repair, supported by an expanded global sales and support network.
729;Safic Alcan;Chemical, Manufacturing;France;2022;EMZ Partners, Sagard;PE;https://www.goodwinlaw.com/news/2022/06/06_30-safic-alcan-welcomes-new-investors;The Company develops and provides wide ranges of polymers, materials and additives for the rubber, coatings, adhesives, thermoplastics, polyurethane, lubricants, detergency, cosmetics, pharmaceuticals and nutraceuticals industries.
10714;Safig;;France;2003;21 Invest;;https://www.di-groupe.com/wp-content/uploads/2016/10/Jouve-2010-The-Jouve-Group-takes-over-Safig-confirming-its-strategy.pdf;Provider of data processing and outsourcing services. The company provides outsourcing of customer relationship management and payment facilities.
29630;Safosa + add-on +MAX;;Italy;;;;;Safosa SpA was founded in 1983. The Company's line of business includes the manufacturing of perfumes, cosmetics, and other toilet preparations.
8108;SAFT;Electronics, Manufacturing;France;2004;DH Private Equity Partners;;https://totalenergies.com/media/news/press-releases/total-takes-control-saft-groupe-after-successful-tender-offer-which-will-be-re-opened-july-19-august;Saft Groupe S.A. is a designer and manufacturer of advanced technology batteries for industry. The Group is the world’s major manufacturer of nickel batteries and primary lithium batteries for the industrial infrastructure and processes, transportation and civil and military electronics markets. Saft is the world leader in space and defense batteries with its Li-ion technologies which are also deployed in the energy storage, transportation and telecommunication network markets. 
23727;SAG;Engineering;Germany;2007;Intermediate Capital Group (ICG);;https://www.privateequitywire.co.uk/2007/12/17/advent-international-sells-infrastructure-services-provider-sag-eqt;SAG GmbH is a provider of engineering, construction, maintenance and operation services for utilities and industrial clients with a focus on their energy infrastructure.
4830;SAG Total;;;;;;;
6955;Saga;Insurance;UK;2007;Permira;PE;;The Company operates through three segments: Insurance, Travel and Other Businesses. The Insurance segment comprises the provision of general insurance products and is focused on insurance premiums and broking. The Insurance segment is analyzed into four product sub-segments, which include motor broking, home broking, other broking and underwriting. The Travel segment comprises the operation and delivery of package tours and cruise holiday products. The Company owns and operates two ocean cruise ships. All other holiday products are packaged together with third-party supplied accommodation, flights and other transport arrangements. The Other Businesses segment comprises personal finance, media, mailing and printing. The Company’s brand is Saga. Its subsidiaries include Saga Personal Finance Limited, Saga Services Limited and Acromas Insurance Company Limited.
9502;Sage / AST (King Worldwide);;;;;;;
2962;SAGE BROADCASTING, CORP.;Broadcasting;United States;2008;Bayou City Broadcasting LLC;;https://mergr.com/sage-broadcasting-acquired-by-bayou-city-broadcasting;Sage Broadcasting Co Inc is headquartered in Houston, Texas, United States and is a television broadcaster. The company's key areas of interest are Bankings, Loans, Deposits, Savings, Financial Services, Online Bankings. The company was founded in 1979.
25557;Sage Telecom, Inc.;Telecommunication Services;United States;2007;Silver Point Capital;PE;https://www.venturecapitaljournal.com/silver-point-to-acquire-sage-telecom/;Sage Telecom, Inc. is known for providing cost-effective local, long distance, mobile phone, high-speed internet, and nationwide mobile broadband service. Sage's goal of helping customers stay connected for less, as well as our easy-to-understand calling plans and high quality customer service help
1377;Sage/MFI;;;;;;;
28118;Sagemcom;Telecommunications;France;2016;Charterhouse Capital Partners;;https://www.charterhouse.co.uk/news/charterhouse-agrees-acquisition-of-sagemcom-from-carlyle/;Sagemcom SAS is a designer, developer and producer of a complete line of products for the broadband, set top box and printing industries. These products include consumer faxes, terminal & pro systems, photo printers, broadband access/DSL/FTTH, residential telephones, Wifi terminals, digital set top boxes, energy metering, networking equipment, video projectors and radio /modules.
42211;Sagent Holding Co.;Financial Software;United States;2018;Warburg Pincus;;https://warburgpincus.com/investments/sagent-lending-technologies/;Provider of loan origination and servicing products intended to increase transaction speed and volume. The company's loan processing solutions automate and consolidate lending operations, enabling high-volume originators or loan servicers, community banks, credit unions or captive auto lenders, to react more quickly to changing markets and consumer expectations, boosting efficiency and reducing transaction costs.
5519;Saggio Holdings Limited;Infortmation Technology;USA;;;;;Saggio Technologies is an IT company that offers software development, software maintenance, technical assessment, and IT services.
28910;Sagital;Industrial & Commercial Services;Spain;;;;;Provider of janitorial services. The company provides building maintenance, sanitation, parking and private security services.
4586;Sagittario Spa;Investment Holding Companies;Italy;;;;https://www.sagittariospa.com;Sagittario investments in the neutraceutical and biotech area are constantly growing thanks to coinvestments with important players in there sectors.
29006;Sagus International;Furniture;United States;2003;Cyprium Partners;;https://cyprium.com/portfolio/sagus-acquisition-corp/;"Sagus International, Inc., is a designer and manufacturer of furniture for the educational, hospitality and healthcare industries. Sagus' primary products include: student chairs and desks; teacher chairs, desks and file cabinets; school cafeteria and classroom tables; music room stages and risers; conference and training folding tables and caddies; and casework (custom) cabinets and tables for classrooms, laboratories and other end-uses. Sagus is headquartered in Chicago and employs approximately 600 people."
51304;GP Petroleums (SAH Petroleum);Oil & Gas;India;2008;Navis Capital Partners;;https://www.reuters.com/article/idINIndia-36206120081029;"GP Petroleums Ltd is an Indian company that operates in the petrochemical industry. The company specializes in industrial and automotive lubricants, process oils, transformer oils, greases, and other specialties under the brand name REPSOL and IPOL in India and overseas markets. The company operates primarily in two business segments - The trading segment that includes trading activities through base oil trading; and the Manufacturing segment that includes the manufacturing and marketing of lubricating oils and greases. The majority of its revenue is derived from the manufacturing segment."
13950;SAH Service Alliance Holding;Hospitals/Inpatient Service;UNited States;;;;;Developer of radiation oncology therapies designed to develop a series of proton therapy centers for the treatment of cancer. The company's therapies include proton therapy and boron neutron capture therapy, which helps to manage specialized investment projects within a variety of sectors, including software development, communications, healthcare, energy, and real estate, enabling cancer treatment centers to provide medical treatment and care to patients from the MENA region as well as patients from around the world.
4979;SAIA-Burgess Controls;Manufacturing;Switzerland;1996;Capvis AG/ Honeywell;;https://www.prnewswire.com/news-releases/honeywell-acquires-saia-burgess-controls-manufacturer-of-intelligent-building-energy-controls-175580571.html;Saia Burgess Controls AG is a Switzerland-based Company, which develops, manufactures and markets modular open- and closed-loop control products for buildings, industry and infrastructure. The Company's line of business includes manufacturing relays and industrial controls.
51727;SailPoint Technologies;Enterprise Software;United States;2022;ThomaBravo;PE;https://www.thomabravo.com/press-releases/sailpoint-to-be-acquired-by-thoma-bravo-for-6.9-billion;"SailPoint is an identity and access management provider helping organizations deliver and manage user access from any device. The company's software integrates role management, access request management, and compliance management solutions that help enterprises to capture control over user access to streamline IT compliance processes andreduce the risks of fraud. Its products include IdentityIQ, which is an identity governance solution that gives enterprises the visibility into and control over user access and streamlines complex processes; IdentityIQ Compliance Manager, which integrates access certification, policy enforcement, and activity monitoring capabilities and automates the auditing, reporting, and management activities; and IdentityIQ Role Manager that helps organizations to create, enforce, and verify role-based access in enterprise applications."
15516;Saime Group;Therapeutic Devices;France;2004;Equistone Partners Europe Limited;;https://www.equistonepe.com/investmentdetail/saime/86;SAIME is a medical company, strongly focused on innovation, which designs and manufactures compact, efficient, autonomous and technically advanced medical ventilators dedicated to improving the life quality of patients suffering from respiratory diseases.
28613;Saint Martin Food Products;;;;;;;
12196;Saints Capital Avalon, L.P.;FUND;United States;;;;;They are a direct secondary acquirer of venture capital and private equity investments in emerging growth companies. Saints Capital also makes traditional direct venture capital investments on a primary basis and in special situations intechnology, health care, consumer and industrial companies in the Unites States.
12379;Saints Capital Chamonix, L.P.;FUND;;;;;;
12380;Saints Capital V, L.P.;FUND;United States;2005;;;;
12381;Saints Capital VI LP;FUND;United States;2008;;;;
44209;Salamander Energy;Energy;UK;2005;3i Private Equity;;https://www.3i.com/media-centre/corporate-and-portfolio-news/2006/3i-backed-salamander-energy-in-405m-ipo-on-london-stock-exchange/;Salamander is listed in the UK, but its operating activities are focused and located in South-East Asia, which has extensive hydrocarbon-producing basins and frontier exploration regions. At the time of its formation in 2005, Salamander’s key asset was a stake in the Phu Horm gas field development in North-East Thailand. Since then, the business has built a balanced portfolio of production and exploration assets, giving it proved and probable reserves of 42.3 mmboe and output of 7,500 boepd.
13813;Salcomp;Electrical Equipment;Finland;1999;EQT Holdings AB;;https://eqtgroup.com/current-portfolio/salcomp;Manufacturer of chargers for mobile phones and other electronic products. The company provides chargers and power adapters for notebooks, gateways, routers, set-top-boxes, lighting and other electronic applications to the smartphone and tablet manufacturers.
1248;Salehurst Paper;Paper Products;;2004;WWF International UK;;https://www.printweek.com/news/article/wwf-plans-growth-after-salehurst-buy;Salehurst PLC, through it's wholly owned subsidiary Salehurst Paper PLC, purchases and supplies paper to the magazine publishing industry. The Company supplies coated and uncoated mechanical and woodfree paper in a variety of grades. Salehurst also provides it's customers with related stock management, technical, advisory and computer information services.
12591;Salesdriver.com, Inc.;;;2000;;;https://www.bizjournals.com/boston/stories/2000/11/13/daily14.html;Sales Driver offers a closed loop marketing solution that allows segmentation, management, and distribution of visual aids and material support. Its solutions focus on the promotion and training of sales force of businesses. It provides training to sales force by facilitating lessons, tests, surveys, and questionnaires.
9486;Salgglas;Manufacturing;Hungary;1997;The Riverside Company;;https://www.unquote.com/unquote/news/77829/hungary-riverside-exits-salgglas;Manufacturer of vehicle-industrial glass in Hungary. The company provides tempered, glued safety, and laminated safety glass for passenger, agricultural, and industrial utility vehicles. It also offers side and back panel glass, as well as special glued safety glass, including burglar-proof, hurl-proof, fracture-proof, and bullet-proof glass.
43153;Salick Cardiovascular Centers, Inc.;;;2006;Warburg Pincus;;https://www.socaltech.com/salick_launches_cardiovascular_center_with_7_m_funding/s-0004186.html;Salick Cardiovascular Center, Inc. provides services for cardiovascular disease. The Company offers diagnostic treatment services for cardiovascular disease principally in outpatient facilities. Salick conducts business in Beverly Hills, California.
32039;Salient Partners, L.P.;FUND;;;;;;Salient Partners offers a suite of strategies focused on real assets. Its services cover energy infrastructure investments, real estate, and tactical alternatives. Salient Partners is committed to making a positive social impact and is among the first asset management firms to join the Pledge 1% movement that helps improve and empower
698;Salins;Other Materials;France;2014;Tikehau;;https://www.macquarie.com/au/en/about/news/2014/macquarie-lending-tikehau-im-and-hayfin-capital-management-provide-unitranche-financing-to-group-salins.html;Provider of salt products. The company offers raw or processed salt products, such as sea salt, vacuum salt and rock salt for the human food, agriculture, chemical industry, de icing, water treatment and industrial activity markets.
8049;Sally Beauty;Retail;United States;2006;CD&R;;https://www.cdr-inc.com/news/press-release/clayton-dubilier-rice-exits-sally-beauty-investment; The company operates through two business segments: Sally Beauty Supply and Beauty Systems Group. Product offerings include hair color and care, hair dryers and hair-styling appliances, nail care, skin care, and others.
2862;Salt Union;Other Metals, Mineral and Mining;UK;1992;Graphite Cpaital;;https://mergr.com/graphite-capital-acquires-salt-union;Provider of de-icing products in the U.K. The company sells several varieties of rock salt for roadway de-icing, sourcing its products from the Winsford Salt Mine in Cheshire. The company also provides Web-based stock-management services and salt bulk storage for its customers.
